,Id,GeographicAreaName,TotalPopulation,SexRatio(males per 100 females),Population_Under5Years,Population_5to9Years,Population_10to14Years,Population_15to19Years,Population_20to24Years,Population_25to34Years,Population_35to44Years,Population_45to54Years,Population_55to59Years,Population_60to64Years,Population_65to74Years,Population_75to84Years,Population_85YearsAndOver,MedianAgeInYears
5644,8600000US30152,ZCTA5 30152,43030,92.0,3346,2464,3321,3034,2527,5728,5263,6929,3276,2834,2838,1165,305,37.5
5645,8600000US30153,ZCTA5 30153,18688,90.1,1403,1921,1588,1120,983,2485,2426,2257,1142,925,1462,650,326,34.4
5646,8600000US30157,ZCTA5 30157,48978,89.8,3948,3352,3580,3688,3604,7202,6648,7034,3156,1998,3022,1428,318,33.8
5647,8600000US30161,ZCTA5 30161,34159,93.0,1585,2218,2414,2126,1907,4220,4410,4396,2178,2131,3416,2220,938,41.1
5648,8600000US30164,ZCTA5 30164,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
5649,8600000US30165,ZCTA5 30165,41536,99.1,3130,2888,2853,2719,2692,5574,5128,5306,2576,2308,3724,1863,775,36.7
5650,8600000US30168,ZCTA5 30168,25803,85.8,2091,2770,1768,1436,2001,4398,3884,3260,1558,963,1152,316,206,32.0
5651,8600000US30170,ZCTA5 30170,2904,114.6,112,155,245,194,128,344,394,398,202,240,257,168,67,43.1
5652,8600000US30171,ZCTA5 30171,3282,102.2,89,275,212,183,262,125,524,536,238,149,526,134,29,44.0
5653,8600000US30173,ZCTA5 30173,5564,77.5,578,338,450,361,123,820,814,650,433,278,439,257,23,36.7
5654,8600000US30175,ZCTA5 30175,5409,88.3,232,270,411,403,268,496,814,688,301,440,822,236,28,42.4
5655,8600000US30176,ZCTA5 30176,6838,90.6,277,306,747,511,438,477,730,1183,277,641,788,373,90,44.6
5656,8600000US30177,ZCTA5 30177,1273,172.6,85,113,194,37,65,116,90,178,178,65,46,56,50,37.6
5657,8600000US30178,ZCTA5 30178,3005,107.0,241,111,99,300,366,221,302,545,236,145,345,49,45,40.5
5658,8600000US30179,ZCTA5 30179,18176,103.8,870,1179,1197,1334,1415,2400,2504,3160,1268,922,1107,706,114,37.0
5659,8600000US30180,ZCTA5 30180,36888,94.5,2666,2672,2823,2385,2555,4624,5203,4654,2350,1955,3361,1323,317,36.3
5660,8600000US30182,ZCTA5 30182,2501,86.6,42,146,82,153,114,267,284,327,256,198,241,301,90,48.8
5661,8600000US30183,ZCTA5 30183,6365,94.4,231,196,346,640,606,573,741,1062,576,411,613,309,61,43.6
5662,8600000US30184,ZCTA5 30184,6504,96.0,349,508,307,342,243,754,454,1037,796,599,832,266,17,48.6
5663,8600000US30185,ZCTA5 30185,4494,105.1,291,342,269,263,207,508,502,599,477,401,390,188,57,42.4
5664,8600000US30187,ZCTA5 30187,7798,103.4,347,595,636,602,234,700,855,1683,661,419,677,318,71,44.5
5665,8600000US30188,ZCTA5 30188,64836,93.3,4431,4311,4937,3021,3249,8375,9038,9677,4601,3823,6077,2585,711,39.4
5666,8600000US30189,ZCTA5 30189,38809,95.8,1894,2209,2950,3091,2386,4760,4802,6760,3038,2093,3078,1365,383,40.1
5667,8600000US30204,ZCTA5 30204,13151,90.1,676,446,896,1571,1212,1538,1436,1374,723,931,1379,650,319,36.8
5668,8600000US30205,ZCTA5 30205,2862,102.0,74,196,163,126,126,197,253,575,326,249,318,222,37,50.8
5669,8600000US30206,ZCTA5 30206,3789,94.7,364,187,338,211,235,424,409,661,279,114,381,140,46,39.4
5670,8600000US30213,ZCTA5 30213,33926,89.3,2606,3036,2782,1945,2735,5382,5586,3971,1309,1703,1985,720,166,33.1
5671,8600000US30214,ZCTA5 30214,29577,88.9,1339,1503,1605,2156,2382,3231,2832,4389,2197,1949,3657,1753,584,44.3
5672,8600000US30215,ZCTA5 30215,36879,94.5,1905,2016,3102,3211,2253,3258,4050,5889,3234,2210,3583,1727,441,41.2
5673,8600000US30216,ZCTA5 30216,2361,104.2,89,118,111,350,154,278,265,318,92,141,343,83,19,36.0
5674,8600000US30217,ZCTA5 30217,9537,94.4,593,630,638,595,562,1124,1047,1373,571,776,1002,430,196,41.8
5675,8600000US30218,ZCTA5 30218,1868,103.7,47,153,110,157,80,106,200,319,90,219,265,111,11,47.2
5676,8600000US30220,ZCTA5 30220,5642,86.9,309,430,579,289,588,801,663,554,512,384,357,135,41,34.1
5677,8600000US30222,ZCTA5 30222,4089,86.5,186,315,387,143,169,586,354,720,159,294,401,274,101,41.8
5678,8600000US30223,ZCTA5 30223,36501,94.4,1994,2798,2202,2058,2016,5295,3956,4279,2489,2319,4398,2045,652,40.0
5679,8600000US30224,ZCTA5 30224,26453,93.3,1626,1770,1514,2190,1530,2950,3664,3919,1601,1497,2453,1363,376,39.1
5680,8600000US30228,ZCTA5 30228,44031,83.0,2416,3685,3586,3576,2483,5917,5702,7329,2387,2403,3283,829,435,36.0
5681,8600000US30230,ZCTA5 30230,9882,90.4,718,407,611,798,634,1127,1369,1101,977,542,1095,382,121,37.9
5682,8600000US30233,ZCTA5 30233,23821,120.9,1387,1268,1636,1199,1633,3638,3044,3428,1607,1290,2213,1224,254,38.6
5683,8600000US30234,ZCTA5 30234,1774,64.4,187,167,136,100,51,234,194,242,200,49,145,45,24,35.3
5684,8600000US30236,ZCTA5 30236,51199,90.3,3740,3860,3984,3696,3807,7885,6637,6389,2976,2692,3539,1587,407,33.0
5685,8600000US30238,ZCTA5 30238,39084,87.8,3032,3350,3738,3122,2708,5147,5212,4945,2468,2164,2095,732,371,32.0
5686,8600000US30240,ZCTA5 30240,29320,86.4,1739,2234,2309,2235,2001,3730,3303,3837,1793,1739,2458,1276,666,35.8
5687,8600000US30241,ZCTA5 30241,25283,95.9,1800,1210,2277,1431,2138,3687,3564,3086,1747,1258,1861,878,346,35.3
5688,8600000US30248,ZCTA5 30248,26317,96.2,1575,2182,2250,2301,1530,2972,3946,4478,1322,1117,1863,571,210,35.7
5689,8600000US30250,ZCTA5 30250,630,826.5,0,0,7,20,103,190,202,108,0,0,0,0,0,34.8
5690,8600000US30251,ZCTA5 30251,2313,101.7,104,66,90,216,90,202,431,346,231,93,322,77,45,42.5
5691,8600000US30252,ZCTA5 30252,48203,93.4,2632,3903,4198,4456,3155,4763,6791,7363,3063,2451,3469,1359,600,36.7
5692,8600000US30253,ZCTA5 30253,53958,87.7,3481,3413,3916,4281,3548,7123,7797,8080,3542,2761,3790,1527,699,36.4
5693,8600000US30256,ZCTA5 30256,3007,110.7,144,261,266,201,143,275,305,592,315,198,125,152,30,43.0
5694,8600000US30257,ZCTA5 30257,4336,103.2,293,279,202,179,220,386,680,714,461,186,495,185,56,44.5
5695,8600000US30258,ZCTA5 30258,3035,93.7,161,167,149,120,260,397,325,479,196,151,444,149,37,42.6
5696,8600000US30259,ZCTA5 30259,3219,92.6,108,192,168,274,183,336,358,518,193,282,439,114,54,44.8
5697,8600000US30260,ZCTA5 30260,25368,87.3,1641,1470,1739,2013,2501,4191,3103,3212,1653,1470,1474,634,267,32.4
5698,8600000US30263,ZCTA5 30263,59799,94.1,4328,4066,4206,4071,3578,8489,7827,8174,3890,3336,4756,2242,836,36.4
5699,8600000US30265,ZCTA5 30265,35096,90.7,1763,2752,2573,2662,1761,3924,4706,5798,2472,1994,2857,1517,317,39.6
5700,8600000US30268,ZCTA5 30268,10298,85.8,480,757,1003,912,591,639,1442,1694,542,557,1059,521,101,40.4
5701,8600000US30269,ZCTA5 30269,36489,92.7,1511,2275,3259,3071,1526,2759,4808,5518,2666,2394,4088,1760,854,43.4
5702,8600000US30273,ZCTA5 30273,15015,100.0,802,1052,1779,1090,1095,1474,2507,2649,722,782,655,338,70,35.7
5703,8600000US30274,ZCTA5 30274,35861,86.0,2190,2866,3000,2518,2474,5984,4992,4833,1816,1986,2541,576,85,33.4
5704,8600000US30275,ZCTA5 30275,70,52.2,0,0,0,0,0,24,25,0,0,0,21,0,0,40.4
5705,8600000US30276,ZCTA5 30276,16028,101.9,1093,975,1086,1076,894,2088,2066,2570,1120,794,1491,580,195,38.5
5706,8600000US30277,ZCTA5 30277,23058,103.4,1092,1115,2055,1823,1289,2009,3060,4161,1656,1621,2141,869,167,42.5
5707,8600000US30281,ZCTA5 30281,68456,92.7,4603,4650,5288,5023,4807,9170,9202,9349,4997,3739,4844,2131,653,35.7
5708,8600000US30284,ZCTA5 30284,103,83.9,29,12,9,0,11,13,19,5,0,1,0,4,0,20.4
5709,8600000US30285,ZCTA5 30285,730,89.6,17,33,48,55,63,61,46,154,62,17,113,50,11,47.4
5710,8600000US30286,ZCTA5 30286,22143,90.6,1450,1021,1874,1447,1294,2429,2775,2942,1549,1412,2200,1325,425,41.4
5711,8600000US30288,ZCTA5 30288,8749,87.3,323,678,571,665,529,928,1066,1226,602,1075,744,311,31,42.0
5712,8600000US30289,ZCTA5 30289,52,116.7,9,0,1,5,6,8,4,9,0,1,3,0,6,27.3
5713,8600000US30290,ZCTA5 30290,8798,97.0,512,621,656,581,455,763,941,1188,894,853,1019,159,156,43.7
5714,8600000US30291,ZCTA5 30291,21639,84.2,1864,1850,1546,1838,1216,3397,2759,2594,890,1161,1562,544,418,31.6
5715,8600000US30292,ZCTA5 30292,5650,83.1,403,440,419,438,340,815,845,580,310,308,509,156,87,34.7
5716,8600000US30293,ZCTA5 30293,2609,103.0,175,62,103,132,171,214,337,272,118,199,444,290,92,49.1
5717,8600000US30294,ZCTA5 30294,42484,90.1,2219,2589,3236,2855,2584,6196,5471,6192,3147,2974,3638,1083,300,38.0
5718,8600000US30295,ZCTA5 30295,4214,95.4,170,236,390,392,158,652,525,516,240,273,298,261,103,38.1
5719,8600000US30296,ZCTA5 30296,28169,85.1,2154,1781,1830,2530,2018,3697,3245,3813,2312,1553,2322,700,214,35.1
5720,8600000US30297,ZCTA5 30297,28966,93.9,3094,2309,2407,1839,2013,4800,3877,2886,1810,1213,1683,740,295,30.4
5721,8600000US30303,ZCTA5 30303,6628,116.4,24,5,0,1757,2168,767,474,726,343,178,186,0,0,21.8
5722,8600000US30305,ZCTA5 30305,24551,99.2,1124,1210,1067,825,1664,5136,3438,3266,1477,1155,2604,1232,353,38.5
5723,8600000US30306,ZCTA5 30306,23973,101.2,1475,1285,1067,854,1401,5824,3801,3665,1397,1024,1530,427,223,35.2
5724,8600000US30307,ZCTA5 30307,20036,91.3,912,847,1250,1108,676,4346,3328,3213,1275,953,1423,517,188,37.4
5725,8600000US30308,ZCTA5 30308,18839,120.5,572,269,174,434,2049,7033,3000,2075,935,881,1026,282,109,32.6
5726,8600000US30309,ZCTA5 30309,26526,106.2,994,703,463,782,2140,8462,4431,3703,1598,953,1619,534,144,34.3
5727,8600000US30310,ZCTA5 30310,28664,87.6,1979,1905,1700,1935,1752,5125,4282,3201,1415,1855,2043,1037,435,34.9
5728,8600000US30311,ZCTA5 30311,36389,76.6,2300,2690,2074,2074,2200,5279,3874,4672,2724,2028,3318,2601,555,38.6
5729,8600000US30312,ZCTA5 30312,24782,89.1,1133,1598,1317,1036,1857,6439,4558,2598,959,1095,1731,349,112,33.1
5730,8600000US30313,ZCTA5 30313,11415,158.1,68,162,137,3473,3975,1147,749,952,336,198,183,10,25,21.1
5731,8600000US30314,ZCTA5 30314,24974,84.9,1367,1470,1227,4111,4048,3051,2242,2251,1140,1072,1817,784,394,25.6
5732,8600000US30315,ZCTA5 30315,35143,92.6,3216,2881,2178,1625,2382,6238,5184,3988,1731,1842,2358,1021,499,33.0
5733,8600000US30316,ZCTA5 30316,33670,99.5,2251,1908,951,1208,1678,8531,5992,4018,1615,1359,2623,1073,463,35.5
5734,8600000US30317,ZCTA5 30317,13820,82.7,1315,978,760,264,666,2653,2712,1528,829,600,884,500,131,35.6
5735,8600000US30318,ZCTA5 30318,56109,111.2,3074,3484,2330,3287,7360,12927,8095,5440,2532,1978,3418,1689,495,30.6
5736,8600000US30319,ZCTA5 30319,43011,98.8,3301,1751,1832,1378,2438,9067,6942,5293,2532,2067,3208,1894,1308,36.8
5737,8600000US30322,ZCTA5 30322,2780,79.2,0,0,0,1361,1373,41,0,0,5,0,0,0,0,20.0
5738,8600000US30324,ZCTA5 30324,27806,106.6,770,817,616,703,2493,9561,4279,2976,1572,1221,1401,1019,378,33.3
5739,8600000US30326,ZCTA5 30326,6529,91.4,72,173,16,121,801,1844,978,739,478,320,351,288,348,36.8
5740,8600000US30327,ZCTA5 30327,22893,92.1,961,1510,1824,1487,498,1761,2657,3708,1788,1949,2590,1427,733,46.5
5741,8600000US30328,ZCTA5 30328,38648,88.6,2754,2050,1700,1466,2148,7328,5741,4953,2369,2181,3022,2092,844,38.2
5742,8600000US30329,ZCTA5 30329,28383,93.3,2636,1541,1663,987,2737,7216,4346,2567,1000,892,1495,712,591,30.8
5743,8600000US30331,ZCTA5 30331,66658,77.4,4733,4790,4745,4207,4150,9850,8258,9838,3669,3212,5426,3030,750,36.4
5744,8600000US30332,ZCTA5 30332,3034,119.5,0,0,0,1360,1623,51,0,0,0,0,0,0,0,20.2
5745,8600000US30334,ZCTA5 30334,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
5746,8600000US30336,ZCTA5 30336,274,93.0,0,11,1,7,1,65,114,27,17,31,0,0,0,38.5
5747,8600000US30337,ZCTA5 30337,13962,88.4,1212,1207,1477,853,633,1801,1747,1893,897,912,902,343,85,33.7
5748,8600000US30338,ZCTA5 30338,35903,90.5,2755,3032,2210,2016,903,4965,6232,4635,1913,1512,3130,1929,671,37.8
5749,8600000US30339,ZCTA5 30339,23960,93.5,977,628,573,640,2086,8032,3477,2620,1316,967,1593,837,214,33.6
5750,8600000US30340,ZCTA5 30340,27796,103.1,2271,1963,2319,1877,1829,4822,3698,3783,1316,1303,1540,815,260,32.0
5751,8600000US30341,ZCTA5 30341,32601,106.9,3163,2236,1758,1868,1932,7011,5053,3656,1610,1430,1632,848,404,32.4
5752,8600000US30342,ZCTA5 30342,30873,94.0,1963,2322,2150,1701,1638,6419,4496,4319,1820,1257,1854,633,301,33.4
5753,8600000US30344,ZCTA5 30344,32690,87.1,1972,2494,2145,1704,2405,5697,4546,4112,1755,1804,2741,980,335,34.8
5754,8600000US30345,ZCTA5 30345,25797,107.4,1704,1426,1634,1136,1413,5260,4040,3520,1325,1117,2005,885,332,35.6
5755,8600000US30346,ZCTA5 30346,4914,158.6,322,300,0,55,257,1757,810,479,342,202,318,72,0,34.3
5756,8600000US30349,ZCTA5 30349,74590,86.0,6217,4969,4824,4517,5561,11447,11343,10894,4173,3550,4770,1813,512,34.8
5757,8600000US30350,ZCTA5 30350,39075,92.4,2201,1698,2007,2536,3031,8057,6375,4816,2406,1966,2238,1212,532,35.0
5758,8600000US30354,ZCTA5 30354,15680,71.3,1128,1219,1000,774,1037,3107,1953,1428,1200,1082,1110,450,192,33.1
5759,8600000US30360,ZCTA5 30360,15856,105.7,1588,995,1315,1034,933,2203,2248,2451,1090,549,943,387,120,34.2
5760,8600000US30363,ZCTA5 30363,3773,147.1,21,25,37,101,1122,1485,379,446,27,77,53,0,0,26.7
5761,8600000US30401,ZCTA5 30401,13740,89.8,1030,767,1267,1147,792,1598,1885,1467,1087,754,1120,686,140,36.4
5762,8600000US30410,ZCTA5 30410,1813,97.5,116,150,126,109,72,239,170,272,163,112,153,109,22,39.9
5763,8600000US30411,ZCTA5 30411,5333,204.9,180,165,293,517,515,924,879,753,234,275,423,145,30,38.0
5764,8600000US30412,ZCTA5 30412,65,71.1,0,0,2,4,3,3,9,6,13,1,24,0,0,56.6
5765,8600000US30413,ZCTA5 30413,1818,78.8,65,143,233,153,37,126,243,214,69,130,241,128,36,40.7
5766,8600000US30415,ZCTA5 30415,6765,80.5,264,194,462,569,500,696,973,1067,405,641,771,155,68,42.8
5767,8600000US30417,ZCTA5 30417,10768,97.4,710,820,797,616,567,1573,1199,1436,630,738,925,586,171,37.9
5768,8600000US30420,ZCTA5 30420,988,85.0,37,36,35,92,38,137,124,146,53,41,97,136,16,44.9
5769,8600000US30421,ZCTA5 30421,2723,86.5,147,87,192,155,152,302,332,425,234,187,292,167,51,44.9
5770,8600000US30423,ZCTA5 30423,222,83.5,25,36,51,5,6,29,20,2,5,14,8,14,7,14.9
5771,8600000US30425,ZCTA5 30425,1458,107.7,57,60,106,73,92,236,272,144,95,149,108,47,19,41.1
5772,8600000US30426,ZCTA5 30426,773,130.1,47,88,46,62,15,99,122,82,58,55,38,59,2,40.3
5773,8600000US30427,ZCTA5 30427,12571,131.3,998,822,711,758,934,2006,1575,1354,958,661,1212,456,126,35.4
5774,8600000US30428,ZCTA5 30428,2815,150.7,115,187,213,110,269,425,100,452,213,180,275,215,61,43.6
5775,8600000US30429,ZCTA5 30429,168,52.7,16,19,23,0,0,0,47,2,0,0,53,0,8,40.9
5776,8600000US30434,ZCTA5 30434,5331,100.9,291,335,480,323,295,799,586,570,449,375,504,231,93,36.5
5777,8600000US30436,ZCTA5 30436,11879,87.0,832,989,1008,744,723,1220,1478,1534,815,621,1060,538,317,38.3
5778,8600000US30438,ZCTA5 30438,24,84.6,0,0,1,2,0,6,6,1,3,1,4,0,0,39.7
5779,8600000US30439,ZCTA5 30439,10819,97.9,596,913,859,675,578,1327,1236,1316,882,541,1195,510,191,38.4
5780,8600000US30441,ZCTA5 30441,1689,109.8,121,87,132,93,64,199,198,223,119,86,198,143,26,41.2
5781,8600000US30442,ZCTA5 30442,7887,80.5,620,798,336,297,792,633,746,1079,628,472,1125,217,144,41.7
5782,8600000US30445,ZCTA5 30445,3851,115.5,177,96,178,479,400,424,496,505,291,156,472,149,28,40.2
5783,8600000US30446,ZCTA5 30446,1055,104.5,80,103,68,48,89,135,140,52,69,103,78,68,22,36.0
5784,8600000US30448,ZCTA5 30448,80,86.0,0,16,2,9,6,0,9,4,11,0,6,11,6,41.8
5785,8600000US30449,ZCTA5 30449,140,97.2,0,32,28,2,4,15,34,0,7,5,8,5,0,25.5
5786,8600000US30450,ZCTA5 30450,2170,87.9,110,124,147,78,163,129,300,318,110,192,270,116,113,46.2
5787,8600000US30451,ZCTA5 30451,42,100.0,3,2,0,3,3,0,6,1,4,0,16,4,0,59.5
5788,8600000US30452,ZCTA5 30452,1576,74.5,134,81,56,137,30,170,184,216,84,157,180,103,44,44.8
5789,8600000US30453,ZCTA5 30453,10936,202.7,392,591,721,551,792,2211,1967,1410,635,532,654,334,146,36.1
5790,8600000US30454,ZCTA5 30454,866,68.2,142,22,26,14,16,98,95,180,15,50,134,74,0,45.2
5791,8600000US30455,ZCTA5 30455,544,99.3,52,45,19,3,26,87,65,31,43,19,93,55,6,42.7
5792,8600000US30456,ZCTA5 30456,2099,70.8,155,142,240,108,73,241,206,272,208,134,197,63,60,40.1
5793,8600000US30457,ZCTA5 30457,5816,102.2,276,287,386,402,321,597,687,677,514,339,778,446,106,42.9
5794,8600000US30458,ZCTA5 30458,44329,96.9,2645,2136,2514,6083,8904,6752,3653,3908,1783,1596,2599,1357,399,24.9
5795,8600000US30460,ZCTA5 30460,2119,80.8,0,0,0,1261,795,63,0,0,0,0,0,0,0,19.7
5796,8600000US30461,ZCTA5 30461,13882,107.6,846,1041,947,709,930,2158,2039,1749,959,822,1012,561,109,36.3
5797,8600000US30464,ZCTA5 30464,122,90.6,6,1,16,21,21,15,9,9,5,5,14,0,0,24.8
5798,8600000US30467,ZCTA5 30467,12184,93.5,739,670,619,818,780,1328,1430,1648,948,969,1409,598,228,42.5
5799,8600000US30470,ZCTA5 30470,337,159.2,35,24,6,7,29,101,24,33,13,2,46,13,4,32.1
5800,8600000US30471,ZCTA5 30471,4744,112.4,279,324,328,244,235,916,475,691,339,211,452,196,54,35.8
5801,8600000US30473,ZCTA5 30473,2442,116.3,143,111,145,164,131,233,251,422,169,164,321,150,38,45.8
5802,8600000US30474,ZCTA5 30474,16913,83.2,1175,968,1347,1246,988,2429,1947,1970,905,1245,1511,798,384,36.1
5803,8600000US30475,ZCTA5 30475,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
5804,8600000US30477,ZCTA5 30477,2805,78.7,166,158,272,163,205,169,439,365,161,196,300,133,78,41.7
5805,8600000US30501,ZCTA5 30501,31127,95.6,2710,2750,1994,2287,2366,4671,4163,3303,1622,1523,1734,1447,557,31.9
5806,8600000US30504,ZCTA5 30504,27202,107.8,1981,2118,2404,1829,2420,4010,3191,3185,1350,1090,2496,841,287,31.6
5807,8600000US30506,ZCTA5 30506,43765,96.8,2501,2352,2604,2856,2662,4537,5714,6626,3130,3008,4777,2346,652,42.8
5808,8600000US30507,ZCTA5 30507,30499,96.4,2099,2127,2905,2624,1807,4478,4432,3982,1817,1257,1924,775,272,33.2
5809,8600000US30510,ZCTA5 30510,8488,70.2,478,482,762,652,541,1333,1214,1365,431,441,524,158,107,35.0
5810,8600000US30511,ZCTA5 30511,3874,102.1,356,318,308,295,310,414,563,414,149,224,325,196,2,33.5
5811,8600000US30512,ZCTA5 30512,21541,95.7,763,1047,914,1064,854,2047,1689,2561,1686,1868,4162,2274,612,54.5
5812,8600000US30513,ZCTA5 30513,12108,90.4,550,515,695,504,658,1211,980,1500,766,1212,2121,1026,370,50.6
5813,8600000US30516,ZCTA5 30516,2221,108.7,138,133,220,56,147,161,292,372,194,29,332,142,5,42.7
5814,8600000US30517,ZCTA5 30517,15909,92.1,1157,1114,1200,1263,787,1923,2174,2464,961,674,1634,418,140,37.0
5815,8600000US30518,ZCTA5 30518,53780,96.0,3421,4204,4467,4532,2894,6692,8118,8593,3025,2779,3047,1455,553,36.4
5816,8600000US30519,ZCTA5 30519,47685,98.7,4128,3127,3706,3905,2709,5232,7535,7239,2942,2503,2997,1312,350,36.1
5817,8600000US30520,ZCTA5 30520,5774,97.8,470,503,352,692,194,660,783,648,284,261,548,353,26,35.5
5818,8600000US30521,ZCTA5 30521,5018,101.9,397,146,434,272,400,421,522,684,483,355,578,254,72,43.4
5819,8600000US30522,ZCTA5 30522,987,110.4,51,22,35,69,36,157,36,212,51,37,146,96,39,51.4
5820,8600000US30523,ZCTA5 30523,12465,90.5,341,537,630,716,731,1406,1173,1863,1164,752,1762,1063,327,49.3
5821,8600000US30525,ZCTA5 30525,7730,88.0,334,440,288,293,429,968,772,1006,532,627,1195,627,219,48.4
5822,8600000US30527,ZCTA5 30527,4321,108.9,397,309,142,248,228,525,447,487,438,274,345,382,99,42.9
5823,8600000US30528,ZCTA5 30528,25280,94.1,1180,1491,1545,1950,1646,2773,2707,3575,2048,1416,3014,1498,437,43.3
5824,8600000US30529,ZCTA5 30529,11358,90.6,635,854,756,664,762,2118,1292,1562,434,588,735,676,282,34.4
5825,8600000US30530,ZCTA5 30530,6887,94.6,399,544,502,414,253,993,678,918,572,402,630,461,121,38.3
5826,8600000US30531,ZCTA5 30531,10924,102.0,932,714,989,602,552,1394,1639,961,679,853,1114,408,87,36.9
5827,8600000US30533,ZCTA5 30533,27113,91.6,978,1428,1165,2928,3657,2719,2770,2901,1907,1752,3126,1376,406,37.4
5828,8600000US30534,ZCTA5 30534,29530,101.2,1722,1607,1904,1894,1699,3576,3521,3937,1817,2487,3430,1477,459,42.4
5829,8600000US30535,ZCTA5 30535,7984,93.6,320,479,472,899,635,601,749,1154,390,359,1156,677,93,42.0
5830,8600000US30536,ZCTA5 30536,8864,96.4,610,340,682,443,389,704,913,1359,658,758,1330,528,150,48.0
5831,8600000US30537,ZCTA5 30537,1552,88.8,61,154,93,96,54,94,179,141,26,105,303,210,36,48.4
5832,8600000US30538,ZCTA5 30538,3404,101.1,284,175,61,285,340,369,297,569,221,151,472,76,104,43.8
5833,8600000US30540,ZCTA5 30540,19634,98.7,970,931,1161,1137,1251,1892,2187,2422,1356,1730,2814,1488,295,45.8
5834,8600000US30541,ZCTA5 30541,1498,112.5,24,38,89,68,77,69,204,88,67,113,383,237,41,61.3
5835,8600000US30542,ZCTA5 30542,37185,99.1,1961,2406,2737,2156,2389,4696,4441,6404,2601,2203,3338,1596,257,40.4
5836,8600000US30543,ZCTA5 30543,4570,97.2,237,219,490,399,256,439,541,682,424,179,340,292,72,39.4
5837,8600000US30545,ZCTA5 30545,929,75.6,78,19,73,43,40,81,97,108,49,77,155,66,43,49.2
5838,8600000US30546,ZCTA5 30546,7199,85.5,264,247,242,338,395,505,529,737,645,464,1489,1012,332,58.6
5839,8600000US30547,ZCTA5 30547,3057,96.5,216,61,221,205,172,385,281,479,206,282,400,115,34,43.9
5840,8600000US30548,ZCTA5 30548,19796,104.0,1252,1599,1377,1342,833,1704,2430,2717,1384,1314,2470,1136,238,42.6
5841,8600000US30549,ZCTA5 30549,25530,96.4,1674,1813,1958,1942,991,3240,3938,3508,1511,1349,2259,1159,188,38.1
5842,8600000US30552,ZCTA5 30552,1741,115.5,131,82,79,88,184,129,165,186,61,272,251,95,18,46.1
5843,8600000US30553,ZCTA5 30553,8009,96.1,410,511,491,401,343,986,826,1066,710,541,965,570,189,45.5
5844,8600000US30554,ZCTA5 30554,8126,99.2,295,566,589,561,619,778,1228,1170,549,538,728,428,77,40.6
5845,8600000US30555,ZCTA5 30555,2400,104.4,137,121,113,147,99,213,358,300,122,209,403,105,73,45.5
5846,8600000US30557,ZCTA5 30557,5076,83.0,199,173,301,166,229,654,308,788,500,447,882,344,85,52.5
5847,8600000US30558,ZCTA5 30558,5322,106.7,277,294,327,490,338,459,663,1026,388,263,461,239,97,42.6
5848,8600000US30559,ZCTA5 30559,4740,87.0,160,196,327,226,173,412,632,465,444,503,812,276,114,51.7
5849,8600000US30560,ZCTA5 30560,4772,108.2,160,143,254,159,189,268,334,693,702,549,841,447,33,55.9
5850,8600000US30562,ZCTA5 30562,1326,83.1,137,65,44,48,29,176,178,170,88,77,154,107,53,44.7
5851,8600000US30563,ZCTA5 30563,5973,103.2,438,307,455,335,343,654,843,678,348,383,524,633,32,39.4
5852,8600000US30564,ZCTA5 30564,3844,115.5,254,144,344,273,318,559,376,587,249,145,325,194,76,35.8
5853,8600000US30565,ZCTA5 30565,4614,116.4,211,415,213,318,310,523,519,863,315,365,384,157,21,38.8
5854,8600000US30566,ZCTA5 30566,7710,89.6,499,405,683,664,504,1205,1008,917,388,429,607,299,102,33.5
5855,8600000US30567,ZCTA5 30567,3820,115.5,397,245,377,129,158,456,556,342,288,351,362,100,59,36.6
5856,8600000US30568,ZCTA5 30568,1348,161.7,7,0,0,100,115,65,62,237,143,156,262,139,62,58.8
5857,8600000US30571,ZCTA5 30571,3459,110.1,28,50,111,123,146,194,259,442,364,353,744,496,149,60.4
5858,8600000US30572,ZCTA5 30572,864,91.6,79,24,15,17,40,46,8,113,101,66,119,162,74,58.4
5859,8600000US30573,ZCTA5 30573,46,130.0,0,0,0,0,0,14,0,3,13,0,15,1,0,59.5
5860,8600000US30575,ZCTA5 30575,1800,98.0,122,207,64,92,80,136,162,393,34,178,247,38,47,46.5
5861,8600000US30576,ZCTA5 30576,2574,102.5,55,41,202,201,81,227,399,376,161,182,477,118,54,47.2
5862,8600000US30577,ZCTA5 30577,20814,82.8,1429,1339,1099,1546,1565,2380,2228,2639,1450,1218,2441,1126,354,40.6
5863,8600000US30581,ZCTA5 30581,141,69.9,9,10,0,0,0,18,0,0,40,0,0,64,0,55.8
5864,8600000US30582,ZCTA5 30582,4998,89.5,178,157,191,587,715,377,414,418,246,375,801,350,189,40.4
5865,8600000US30601,ZCTA5 30601,24267,91.2,1826,1538,1697,1041,5518,4711,2115,2055,1042,901,1224,516,83,25.9
5866,8600000US30602,ZCTA5 30602,2952,47.6,0,0,0,2160,771,21,0,0,0,0,0,0,0,19.4
5867,8600000US30605,ZCTA5 30605,41593,88.7,2004,1570,1621,5314,8775,7599,4228,3058,1722,1658,2520,1219,305,26.4
